Location,Indicator,Subject,Measure,Year,Month,Frequency,Value
CAN,HUR,MEN,PC_LF,2020,02,M,5.8
CAN,HUR,MEN,PC_LF,2020,03,M,7.1
CAN,HUR,MEN,PC_LF,2020,04,M,12.6
CAN,HUR,MEN,PC_LF,2020,05,M,13.5
CAN,HUR,MEN,PC_LF,2020,06,M,12.1
CAN,HUR,MEN,PC_LF,2020,07,M,11.3
CAN,HUR,MEN,PC_LF,2020,08,M,10.7
CAN,HUR,MEN,PC_LF,2020,09,M,9.5
CAN,HUR,MEN,PC_LF,2020,10,M,9.3
AUS,HUR,WOMEN,PC_LF,2020,01,M,5.179362
AUS,HUR,WOMEN,PC_LF,2020,02,M,4.9151419999999995
AUS,HUR,WOMEN,PC_LF,2020,03,M,5.134176999999999
AUS,HUR,WOMEN,PC_LF,2020,04,M,5.993342
AUS,HUR,WOMEN,PC_LF,2020,05,M,6.933723
AUS,HUR,WOMEN,PC_LF,2020,06,M,7.347025
AUS,HUR,WOMEN,PC_LF,2020,07,M,7.488235
AUS,HUR,WOMEN,PC_LF,2020,08,M,6.552208
AUS,HUR,WOMEN,PC_LF,2020,09,M,6.674664999999999
AUS,HUR,WOMEN,PC_LF,2020,10,M,7.023453
COL,HUR,MEN,PC_LF,2020,01,M,8.512313
COL,HUR,MEN,PC_LF,2020,02,M,8.223355
COL,HUR,MEN,PC_LF,2020,03,M,9.628409
COL,HUR,MEN,PC_LF,2020,04,M,17.079720000000002
COL,HUR,MEN,PC_LF,2020,05,M,18.04639
COL,HUR,MEN,PC_LF,2020,06,M,17.10301
COL,HUR,MEN,PC_LF,2020,07,M,15.709439999999999
COL,HUR,MEN,PC_LF,2020,08,M,13.70505
COL,HUR,MEN,PC_LF,2020,09,M,12.85454
USA,HUR,WOMEN,PC_LF,2020,01,M,3.5
USA,HUR,WOMEN,PC_LF,2020,02,M,3.4
USA,HUR,WOMEN,PC_LF,2020,03,M,4.4
USA,HUR,WOMEN,PC_LF,2020,04,M,16.2
USA,HUR,WOMEN,PC_LF,2020,05,M,14.5
USA,HUR,WOMEN,PC_LF,2020,06,M,11.7
USA,HUR,WOMEN,PC_LF,2020,07,M,10.6
USA,HUR,WOMEN,PC_LF,2020,08,M,8.6
USA,HUR,WOMEN,PC_LF,2020,09,M,8.0
USA,HUR,WOMEN,PC_LF,2020,10,M,6.7
ISR,HUR,WOMEN,PC_LF,2020,01,M,3.7645089999999994
ISR,HUR,WOMEN,PC_LF,2020,02,M,3.787689
ISR,HUR,WOMEN,PC_LF,2020,03,M,3.444811
ISR,HUR,WOMEN,PC_LF,2020,04,M,3.262991
ISR,HUR,WOMEN,PC_LF,2020,05,M,4.0270410000000005
ISR,HUR,WOMEN,PC_LF,2020,06,M,4.281816
ISR,HUR,WOMEN,PC_LF,2020,07,M,4.406842
ISR,HUR,WOMEN,PC_LF,2020,08,M,4.530745
ISR,HUR,WOMEN,PC_LF,2020,09,M,4.188817
ISR,HUR,WOMEN,PC_LF,2020,10,M,4.179142
CHL,HUR,MEN,PC_LF,2020,01,M,7.552942
CHL,HUR,MEN,PC_LF,2020,02,M,7.4752
CHL,HUR,MEN,PC_LF,2020,03,M,8.674263999999999
CHL,HUR,MEN,PC_LF,2020,04,M,10.921439999999999
CHL,HUR,MEN,PC_LF,2020,05,M,11.95035
CHL,HUR,MEN,PC_LF,2020,06,M,12.46583
CHL,HUR,MEN,PC_LF,2020,07,M,12.52112
CHL,HUR,MEN,PC_LF,2020,08,M,12.190489999999999
CHL,HUR,MEN,PC_LF,2020,09,M,11.554110000000001
KOR,HUR,WOMEN,PC_LF,2020,01,M,4.1
KOR,HUR,WOMEN,PC_LF,2020,02,M,3.1
KOR,HUR,WOMEN,PC_LF,2020,03,M,3.8
KOR,HUR,WOMEN,PC_LF,2020,04,M,3.8
KOR,HUR,WOMEN,PC_LF,2020,05,M,4.5
KOR,HUR,WOMEN,PC_LF,2020,06,M,4.4
KOR,HUR,WOMEN,PC_LF,2020,07,M,4.3
KOR,HUR,WOMEN,PC_LF,2020,08,M,3.4
KOR,HUR,WOMEN,PC_LF,2020,09,M,4.0
KOR,HUR,WOMEN,PC_LF,2020,10,M,4.1
JPN,HUR,MEN,PC_LF,2020,01,M,2.4
